sum_porcp_c,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
1.018029,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,1.8379117,0,1,10463612,0,0.08474246612184483,0.007560072294007843
0.64274997,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,60,0,-0.58863521,1,0,80117050,0,0.12513078763661378,0.005418604434332329
0.27052093,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.2857143,0.00230808,1,1,5524168,0,0.1726627866171678,0.00120817714201619
0.27051708,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.2857143,0.57597232,1,1,5524167,0,0.23590241043844545,0.0010410002090071933
0.54211473,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.2857143,-0.10827782,1,1,5524169,0,0.21156238317354567,0.002016382855012025
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,-0.31158489,1,0,78133298,0,0.05914259240059243,0.0026521653643415324
0.47131002,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.2857143,0.32599312,1,1,3595417,1,0.1564448903872088,0.0075019382238488575
0.47131154,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.2857143,0.71995533,1,1,3595416,1,0.18089756152820385,0.0037044254952203915
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,-0.438252,1,1,5522692,1,0.018498370701490338,0.009735346410325748
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0.2857143,-0.38819829,0,1,3592119,1,-0.023307842309130414,0.0037732188440105594
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0.2857143,-0.45040283,0,1,3592117,1,-0.012947314459216723,0.00394259831022868
